printed to log file,Mon Dec  2 17:23:37 2013
printed to log file,Mon Dec  2 17:26:31 2013
printed to log file,Mon Dec  2 17:37:09 2013
printed to log file,Mon Dec  2 17:42:00 2013
printed to log file,Mon Dec  2 17:45:22 2013
printed to log file,Mon Dec  2 17:46:45 2013
printed to log file,Mon Dec  2 17:47:50 2013
printed to log file,Mon Dec  2 18:05:10 2013
printed to log file,Mon Dec  2 18:05:13 2013
printed to log file,Mon Dec  2 18:05:15 2013
printed to log file,Mon Dec  2 18:05:15 2013
printed to log file,Mon Dec  2 18:05:16 2013
printed to log file,Mon Dec  2 18:05:16 2013
printed to log file,Mon Dec  2 18:07:52 2013
printed to log file,Mon Dec  2 18:08:35 2013
printed to log file,Mon Dec  2 18:09:46 2013
printed to log file,Mon Dec  2 18:11:11 2013
printed to log file,Mon Dec  2 18:11:42 2013
printed to log file,Mon Dec  2 18:11:43 2013
printed to log file,Mon Dec  2 18:11:44 2013
printed to log file,Mon Dec  2 18:11:44 2013
printed to log file,Mon Dec  2 18:11:44 2013
printed to log file,Mon Dec  2 18:11:44 2013
printed to log file,Mon Dec  2 18:11:45 2013
printed to log file,Mon Dec  2 18:11:45 2013
printed to log file,Mon Dec  2 18:11:45 2013
printed to log file,Mon Dec  2 18:11:45 2013
printed to log file,Mon Dec  2 18:11:45 2013
